DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 7.49 749 87.466 -0.040 -0.954 2.262 0.525 0.946 -1.014 -13.802 2.605
1 7.50 750 88.768 0.268 -0.370 2.273 0.538 1.019 1.051 1.279 7.374
1 7.51 751 90.060 0.577 0.258 2.255 0.539 1.097 -1.746 0.093 7.751
1 7.52 752 91.313 0.823 0.898 2.187 0.430 1.117 -6.764 -10.922 2.000
1 7.53 753 92.537 1.040 1.570 2.136 0.378 1.172 -5.140 -5.148 5.516
1 7.54 754 94.798 1.316 2.980 3.946 0.481 2.461 181.021 10.221 128.930
1 7.55 755 95.848 1.503 3.641 1.832 0.326 1.155 -211.451 -15.426 -130.650
1 7.56 756 96.876 1.723 4.229 1.794 0.386 1.025 -3.769 5.920 -12.931
1 7.57 757 97.891 1.988 4.823 1.771 0.462 1.036 -2.302 7.617 1.075
1 7.58 758 98.895 2.292 5.379 1.753 0.531 0.971 -1.839 6.977 -6.478
1 7.59 759 99.899 2.649 5.866 1.753 0.622 0.850 0.058 9.080 -12.136
1 7.60 760 100.923 3.104 6.332 1.787 0.795 0.813 3.355 17.243 -3.738
1 7.61 761 102.869 4.023 7.258 3.397 1.604 1.617 161.031 80.907 80.414
1 7.62 762 103.798 4.526 7.712 1.620 0.878 0.791 -177.728 -72.601 -82.558
1 7.63 763 104.679 5.024 8.187 1.538 0.869 0.829 -8.162 -0.912 3.728
1 7.64 764 105.524 5.499 8.609 1.475 0.829 0.737 -6.365 -3.991 -9.170
1 7.65 765 106.340 5.969 8.998 1.425 0.822 0.679 -4.914 -0.684 -5.804
1 7.66 766 107.178 6.413 9.394 1.461 0.774 0.692 3.576 -4.784 1.364
1 7.67 767 108.006 6.798 9.794 1.445 0.671 0.697 -1.631 -10.264 0.501
1 7.68 768 109.577 7.580 10.465 2.742 1.365 1.170 129.709 69.334 47.302
1 7.69 769 109.483 7.599 10.516 -0.163 0.035 0.090 -290.539 -133.005 -108.068
1 7.70 770 111.080 8.457 11.055 2.788 1.498 0.941 295.165 146.302 85.108
1 7.71 771 111.807 8.884 11.339 1.267 0.744 0.496 -152.092 -75.376 -44.491
1 7.72 772 112.532 9.261 11.669 1.266 0.659 0.575 -0.098 -8.472 7.870
1 7.73 773 113.251 9.568 12.020 1.254 0.535 0.613 -1.190 -12.389 3.793
1 7.74 774 113.970 9.823 12.415 1.254 0.445 0.690 -0.017 -9.080 7.722
1 7.75 775 114.680 10.048 12.819 1.240 0.392 0.705 -1.476 -5.226 1.528
1 7.76 776 116.057 10.428 13.588 2.403 0.664 1.343 116.379 27.129 63.796
1 7.77 777 116.714 10.627 13.952 1.147 0.349 0.635 -125.651 -31.496 -70.848
1 7.78 778 117.341 10.830 14.314 1.095 0.354 0.632 -5.198 0.500 -0.222
1 7.79 779 117.941 11.026 14.682 1.047 0.342 0.641 -4.830 -1.134 0.865
1 7.80 780 118.513 11.220 15.026 0.999 0.339 0.601 -4.783 -0.331 -4.041
1 7.81 781 119.063 11.423 15.363 0.960 0.354 0.588 -3.858 1.522 -1.266
1 7.82 782 119.595 11.647 15.681 0.928 0.390 0.555 -3.195 3.556 -3.295
1 7.83 783 120.592 11.972 16.462 1.740 0.568 1.364 81.155 17.857 80.876
1 7.84 784 121.070 12.107 16.908 0.834 0.236 0.778 -90.544 -33.264 -58.565
1 7.85 785 121.534 12.226 17.377 0.810 0.206 0.819 -2.401 -2.919 4.103
1 7.86 786 121.932 12.307 17.876 0.695 0.143 0.870 -11.508 -6.380 5.093
1 7.87 787 122.302 12.426 18.362 0.645 0.208 0.849 -5.007 6.502 -2.091
1 7.88 788 122.638 12.572 18.816 0.587 0.254 0.791 -5.829 4.679 -5.820
1 7.89 789 122.920 12.733 19.248 0.493 0.281 0.754 -9.382 2.694 -3.667
1 7.90 790 123.007 12.945 19.718 0.152 0.369 0.821 -34.139 8.795 6.690
1 7.91 791 123.548 13.339 20.384 0.944 0.688 1.163 79.198 31.864 34.149
1 7.92 792 123.693 13.558 20.730 0.253 0.382 0.603 -69.070 -30.554 -55.957
1 7.93 793 123.822 13.779 21.039 0.226 0.385 0.540 -2.685 0.224 -6.292
1 7.94 794 123.936 13.970 21.323 0.198 0.334 0.495 -2.851 -5.060 -4.485
1 7.95 795 124.025 14.131 21.591 0.157 0.281 0.467 -4.075 -5.310 -2.825
1 7.96 796 124.097 14.267 21.815 0.125 0.237 0.391 -3.200 -4.383 -7.603
1 7.97 797 124.132 14.401 22.038 0.061 0.233 0.389 -6.330 -0.385 -0.241
1 7.98 798 124.090 14.684 22.436 -0.073 0.495 0.696 -13.478 26.175 30.692
1 7.99 799 124.035 14.834 22.583 -0.096 0.261 0.256 -2.315 -23.375 -43.912
1 8.00 800 123.961 14.956 22.736 -0.129 0.212 0.266 -3.266 -4.921 0.994
1 8.01 801 123.877 15.052 22.910 -0.146 0.167 0.304 -1.686 -4.468 3.715
1 8.02 802 123.782 15.132 23.081 -0.166 0.140 0.300 -2.005 -2.791 -0.398
1 8.03 803 123.690 15.209 23.229 -0.161 0.135 0.257 0.496 -0.485 -4.280
1 8.04 804 123.611 15.244 23.476 -0.137 0.062 0.431 2.379 -7.252 17.431
1 8.05 805 123.473 15.413 23.543 -0.240 0.294 0.118 -10.324 23.149 -31.352
1 8.06 806 123.438 15.468 23.606 -0.061 0.097 0.110 17.920 -19.682 -0.765
1 8.07 807 123.415 15.518 23.652 -0.040 0.088 0.081 2.108 -0.887 -2.911
1 8.08 808 123.403 15.571 23.665 -0.022 0.092 0.023 1.867 0.357 -5.755
1 8.09 809 123.382 15.616 23.648 -0.036 0.079 -0.030 -1.469 -1.222 -5.324
1 8.10 810 123.361 15.650 23.613 -0.037 0.059 -0.062 -0.076 -2.031 -3.178
1 8.11 811 123.350 15.672 23.563 -0.020 0.038 -0.088 1.726 -2.074 -2.611
1 8.12 812 123.352 15.679 23.402 0.003 0.013 -0.280 2.315 -2.558 -19.240
1 8.13 813 123.376 15.676 23.268 0.042 -0.005 -0.234 3.886 -1.759 4.675
1 8.14 814 123.410 15.657 23.110 0.060 -0.035 -0.277 1.812 -2.960 -4.315
1 8.15 815 123.463 15.635 22.947 0.092 -0.037 -0.283 3.150 -0.292 -0.660
1 8.16 816 123.536 15.639 22.721 0.128 0.007 -0.394 3.586 4.478 -11.089
1 8.17 817 123.613 15.646 22.445 0.133 0.011 -0.482 0.558 0.373 -8.802
1 8.18 818 123.678 15.647 22.172 0.114 0.002 -0.477 -1.979 -0.944 0.515
1 8.19 819 123.847 15.676 21.787 0.296 0.051 -0.672 18.222 4.890 -19.503
1 8.20 820 123.833 15.682 21.349 -0.025 0.010 -0.764 -32.060 -4.036 -9.212
1 8.21 821 123.862 15.704 21.087 0.051 0.039 -0.458 7.541 2.871 30.642
1 8.22 822 123.873 15.722 20.822 0.019 0.032 -0.462 -3.190 -0.737 -0.417
1 8.23 823 123.879 15.725 20.571 0.011 0.005 -0.437 -0.718 -2.686 2.449
1 8.24 824 123.886 15.732 20.300 0.013 0.012 -0.474 0.117 0.745 -3.614
1 8.25 825 123.895 15.724 20.023 0.015 -0.013 -0.483 0.265 -2.473 -0.927
1 8.26 826 123.907 15.709 19.752 0.020 -0.027 -0.473 0.455 -1.465 0.980
1 8.27 827 123.913 15.725 19.174 0.010 0.028 -1.009 -0.947 5.505 -53.635
1 8.28 828 123.913 15.732 18.901 0.002 0.013 -0.476 -0.885 -1.517 53.370
1 8.29 829 123.884 15.737 18.674 -0.051 0.008 -0.397 -5.283 -0.420 7.882
1 8.30 830 123.832 15.730 18.457 -0.091 -0.012 -0.379 -3.932 -2.071 1.774
1 8.31 831 123.778 15.725 18.233 -0.095 -0.008 -0.391 -0.467 0.412 -1.159
1 8.32 832 123.710 15.733 17.971 -0.119 0.014 -0.458 -2.339 2.208 -6.676
1 8.33 833 123.632 15.759 17.707 -0.136 0.045 -0.461 -1.717 3.098 -0.310
1 8.34 834 123.640 15.787 17.378 0.015 0.050 -0.574 15.082 0.525 -11.308
1 8.35 835 123.424 15.792 16.877 -0.378 0.007 -0.874 -39.253 -4.277 -30.029
1 8.36 836 123.374 15.768 16.572 -0.088 -0.042 -0.533 28.977 -4.890 34.058
1 8.37 837 123.328 15.731 16.274 -0.079 -0.064 -0.518 0.870 -2.221 1.493
1 8.38 838 123.264 15.630 16.013 -0.113 -0.177 -0.456 -3.400 -11.325 6.256
1 8.39 839 123.187 15.520 15.766 -0.134 -0.192 -0.431 -2.062 -1.456 2.496
1 8.40 840 123.096 15.411 15.507 -0.158 -0.190 -0.452 -2.468 0.180 -2.069
1 8.41 841 123.086 15.278 15.117 -0.018 -0.232 -0.681 14.038 -4.275 -22.941
1 8.42 842 122.690 15.026 14.648 -0.692 -0.441 -0.819 -67.379 -20.818 -13.816
1 8.43 843 122.519 14.901 14.317 -0.297 -0.217 -0.578 39.432 22.321 24.154
1 8.44 844 122.341 14.764 13.951 -0.311 -0.240 -0.638 -1.359 -2.263 -6.018
1 8.45 845 122.170 14.609 13.563 -0.298 -0.269 -0.678 1.340 -2.925 -4.027
1 8.46 846 122.002 14.481 13.088 -0.294 -0.224 -0.829 0.353 4.523 -15.101
1 8.47 847 121.822 14.359 12.570 -0.315 -0.212 -0.904 -2.072 1.165 -7.443
1 8.48 848 121.806 14.274 11.846 -0.027 -0.150 -1.263 28.746 6.286 -35.968
1 8.49 849 120.965 13.882 11.078 -1.468 -0.684 -1.341 -144.048 -53.439 -7.768
1 8.50 850 120.560 13.628 10.710 -0.707 -0.443 -0.642 76.094 24.061 69.845
1 8.51 851 120.100 13.324 10.386 -0.802 -0.530 -0.565 -9.534 -8.636 7.749
1 8.52 852 119.598 13.009 10.080 -0.876 -0.550 -0.535 -7.384 -2.027 2.995
1 8.53 853 119.055 12.701 9.797 -0.949 -0.538 -0.493 -7.243 1.238 4.249
1 8.54 854 118.460 12.400 9.491 -1.038 -0.526 -0.534 -8.979 1.200 -4.179
1 8.55 855 117.837 12.135 9.102 -1.087 -0.463 -0.679 -4.823 6.310 -14.493
1 8.56 856 116.601 11.732 8.192 -2.158 -0.702 -1.587 -107.105 -23.964 -90.811
1 8.57 857 115.973 11.538 7.668 -1.097 -0.340 -0.916 106.106 36.215 67.120
1 8.58 858 115.306 11.305 7.143 -1.165 -0.406 -0.915 -6.804 -6.573 0.138
1 8.59 859 114.565 10.977 6.710 -1.293 -0.573 -0.757 -12.834 -16.725 15.808
1 8.60 860 113.775 10.525 6.372 -1.378 -0.789 -0.589 -8.500 -21.564 16.775
1 8.61 861 112.937 9.981 6.148 -1.464 -0.949 -0.392 -8.569 -16.009 19.685
1 8.62 862 112.058 9.413 6.036 -1.534 -0.991 -0.195 -7.052 -4.258 19.681
1 8.63 863 111.232 8.717 5.873 -1.440 -1.216 -0.284 9.377 -22.503 -8.841
1 8.64 864 109.218 7.599 5.469 -3.516 -1.951 -0.706 -207.560 -73.491 -42.194
1 8.65 865 108.189 7.098 5.079 -1.796 -0.874 -0.681 171.962 107.714 2.459
1 8.66 866 107.141 6.706 4.593 -1.828 -0.684 -0.847 -3.176 19.038 -16.639
1 8.67 867 106.090 6.347 4.041 -1.834 -0.627 -0.963 -0.629 5.671 -11.536
1 8.68 868 105.071 5.969 3.471 -1.780 -0.660 -0.995 5.455 -3.299 -3.177
1 8.69 869 104.013 5.627 2.938 -1.846 -0.596 -0.931 -6.602 6.445 6.344
1 8.70 870 103.030 5.201 2.395 -1.716 -0.744 -0.948 13.008 -14.844 -1.639
1 8.71 871 100.665 4.808 1.558 -4.127 -0.686 -1.461 -241.157 5.807 -51.318
1 8.72 872 99.520 4.539 1.150 -1.998 -0.470 -0.713 212.936 21.583 74.797
1 8.73 873 98.343 4.213 0.747 -2.054 -0.568 -0.704 -5.634 -9.750 0.912
1 8.74 874 97.162 3.896 0.318 -2.061 -0.553 -0.748 -0.689 1.424 -4.445
1 8.75 875 95.986 3.576 -0.136 -2.052 -0.560 -0.791 0.895 -0.657 -4.323
1 8.76 876 94.812 3.198 -0.603 -2.049 -0.660 -0.816 0.341 -9.988 -2.440
1 8.77 877 93.664 2.781 -1.084 -2.004 -0.728 -0.841 4.491 -6.813 -2.480
1 8.78 878 92.571 2.160 -1.657 -1.907 -1.083 -1.000 9.652 -35.491 -15.929
1 8.79 879 89.879 1.313 -2.499 -4.699 -1.478 -1.469 -279.126 -39.540 -46.904
1 8.80 880 88.431 0.797 -2.971 -2.528 -0.900 -0.825 217.088 57.816 64.420
1 8.81 881 86.904 0.303 -3.452 -2.665 -0.863 -0.838 -13.679 3.679 -1.340
1 8.82 882 85.312 -0.187 -3.965 -2.778 -0.854 -0.896 -11.389 0.912 -5.769
1 8.83 883 83.653 -0.684 -4.568 -2.896 -0.868 -1.052 -11.737 -1.357 -15.647
1 8.84 884 81.930 -1.124 -5.249 -3.007 -0.768 -1.188 -11.133 10.025 -13.620
1 8.85 885 79.970 -1.605 -6.231 -3.422 -0.841 -1.715 -41.457 -7.325 -52.613
1 8.86 886 78.172 -1.870 -7.049 -3.137 -0.462 -1.428 28.474 37.878 28.614
1 8.87 887 74.658 -2.019 -8.437 -6.133 -0.261 -2.421 -299.642 20.120 -99.249
1 8.88 888 72.849 -2.195 -9.191 -3.157 -0.307 -1.316 297.681 -4.641 110.487
1 8.89 889 71.042 -2.445 -9.933 -3.155 -0.435 -1.296 0.157 -12.776 1.997
1 8.90 890 69.216 -2.734 -10.633 -3.186 -0.506 -1.222 -3.092 -7.058 7.437
1 8.91 891 67.352 -2.997 -11.301 -3.253 -0.458 -1.166 -6.701 4.761 5.575
1 8.92 892 65.177 -3.370 -12.231 -3.797 -0.652 -1.623 -54.417 -19.361 -45.700
1 8.93 893 61.188 -3.692 -13.656 -6.963 -0.561 -2.487 -316.542 9.017 -86.390
1 8.94 894 59.006 -3.964 -14.501 -3.808 -0.476 -1.475 315.444 8.525 101.160
1 8.95 895 56.896 -4.275 -15.299 -3.682 -0.542 -1.392 12.609 -6.543 8.347
1 8.96 896 54.917 -4.577 -15.987 -3.454 -0.527 -1.201 22.840 1.428 19.088
1 8.97 897 53.060 -4.814 -16.583 -3.242 -0.414 -1.040 21.161 11.322 16.054
1 8.98 898 51.283 -4.944 -17.122 -3.100 -0.227 -0.942 14.157 18.666 9.865
1 8.99 899 49.585 -5.035 -17.510 -2.963 -0.158 -0.676 13.708 6.986 26.573
1 9.00 900 47.888 -4.898 -17.853 -2.962 0.238 -0.600 0.160 39.568 7.645
1 9.01 901 44.358 -4.637 -18.578 -6.162 0.456 -1.266 -320.019 21.754 -66.599
1 9.02 902 42.473 -4.536 -18.815 -3.289 0.177 -0.413 287.268 -27.872 85.223
1 9.03 903 40.546 -4.473 -19.010 -3.365 0.110 -0.341 -7.524 -6.690 7.218
1 9.04 904 38.634 -4.405 -19.134 -3.336 0.118 -0.216 2.890 0.786 12.467
1 9.05 905 36.748 -4.324 -19.288 -3.293 0.141 -0.268 4.284 2.348 -5.132
1 9.06 906 34.881 -4.224 -19.528 -3.258 0.175 -0.419 3.496 3.328 -15.173
1 9.07 907 33.017 -4.042 -19.855 -3.254 0.317 -0.570 0.426 14.270 -15.031
1 9.08 908 29.946 -3.967 -20.649 -5.360 0.132 -1.387 -210.601 -18.579 -81.720
1 9.09 909 28.640 -3.917 -21.032 -2.280 0.086 -0.668 308.008 -4.572 71.902
1 9.10 910 27.466 -3.848 -21.366 -2.049 0.121 -0.583 23.087 3.490 8.482
1 9.11 911 26.383 -3.760 -21.687 -1.891 0.154 -0.560 15.772 3.365 2.364
1 9.12 912 25.335 -3.664 -22.006 -1.828 0.168 -0.557 6.254 1.322 0.248
1 9.13 913 24.289 -3.565 -22.326 -1.827 0.172 -0.558 0.185 0.422 -0.112
1 9.14 914 23.329 -3.542 -22.675 -1.675 0.040 -0.609 15.159 -13.216 -5.084
1 9.15 915 20.998 -3.381 -23.340 -4.069 0.282 -1.161 -239.368 24.192 -55.155
1 9.16 916 19.866 -3.342 -23.623 -1.976 0.069 -0.494 209.247 -21.297 66.622
1 9.17 917 18.725 -3.310 -23.897 -1.992 0.055 -0.479 -1.556 -1.391 1.539
1 9.18 918 17.590 -3.246 -24.131 -1.981 0.113 -0.408 1.108 5.818 7.097
1 9.19 919 16.455 -3.149 -24.327 -1.980 0.169 -0.342 0.019 5.608 6.586
1 9.20 920 15.315 -3.016 -24.489 -1.990 0.231 -0.282 -0.980 6.217 5.997
1 9.21 921 14.147 -2.789 -24.421 -2.037 0.396 0.117 -4.714 16.524 39.942
1 9.22 922 12.988 -2.585 -24.531 -2.023 0.357 -0.192 1.403 -3.892 -30.909
1 9.23 923 10.715 -2.179 -24.853 -3.967 0.709 -0.561 -194.388 35.105 -36.964
1 9.24 924 9.577 -1.933 -24.867 -1.986 0.429 -0.025 198.071 -27.952 53.685
1 9.25 925 8.459 -1.691 -24.878 -1.951 0.421 -0.019 3.565 -0.780 0.609
1 9.26 926 7.370 -1.468 -24.917 -1.901 0.390 -0.068 4.943 -3.167 -4.987
1 9.27 927 6.312 -1.249 -24.981 -1.846 0.383 -0.112 5.580 -0.637 -4.363
1 9.28 928 5.327 -1.038 -24.977 -1.719 0.368 0.006 12.652 -1.517 11.824
1 9.29 929 4.371 -0.845 -25.124 -1.669 0.337 -0.256 5.051 -3.077 -26.268
1 9.30 930 2.532 -0.486 -25.442 -3.210 0.626 -0.554 -154.103 28.854 -29.707
1 9.31 931 1.748 -0.339 -25.596 -1.368 0.257 -0.269 184.113 -36.846 28.446
1 9.32 932 1.032 -0.165 -25.711 -1.249 0.302 -0.202 11.911 4.514 6.721
1 9.33 933 0.399 0.005 -25.823 -1.106 0.297 -0.195 14.368 -0.523 0.716
1 9.34 934 -0.152 0.193 -25.919 -0.961 0.327 -0.168 14.491 3.027 2.619
1 9.35 935 -0.630 0.396 -25.977 -0.835 0.355 -0.101 12.569 2.799 6.750
1 9.36 936 -0.771 0.636 -26.001 -0.245 0.419 -0.041 58.961 6.348 5.970
1 9.37 937 -1.517 0.944 -26.026 -1.303 0.537 -0.044 -105.747 11.757 -0.269
1 9.38 938 -1.624 1.094 -26.016 -0.186 0.262 0.018 111.738 -27.478 6.222
1 9.39 939 -1.652 1.240 -25.971 -0.050 0.255 0.078 13.556 -0.632 5.969
1 9.40 940 -1.609 1.367 -25.924 0.075 0.222 0.082 12.519 -3.312 0.432
1 9.41 941 -1.527 1.460 -25.853 0.144 0.162 0.124 6.885 -6.020 4.145
1 9.42 942 -1.422 1.523 -25.732 0.183 0.109 0.211 3.929 -5.269 8.737
1 9.43 943 -1.077 1.547 -25.614 0.602 0.042 0.206 41.904 -6.774 -0.547
1 9.44 944 -1.209 1.557 -25.483 -0.232 0.018 0.229 -83.417 -2.376 2.389
1 9.45 945 -1.308 1.527 -25.589 -0.171 -0.053 -0.185 6.051 -7.053 -41.487
1 9.46 946 -1.491 1.487 -25.814 -0.321 -0.069 -0.393 -14.929 -1.682 -20.760
1 9.47 947 -1.709 1.458 -26.123 -0.379 -0.051 -0.539 -5.871 1.843 -14.610
1 9.48 948 -1.939 1.476 -26.476 -0.401 0.031 -0.616 -2.210 8.164 -7.656
1 9.49 949 -2.153 1.568 -26.823 -0.373 0.162 -0.606 2.809 13.154 1.010
1 9.50 950 -2.301 1.881 -27.082 -0.259 0.545 -0.452 11.429 38.254 15.382
1 9.51 951 -2.467 2.030 -27.230 -0.290 0.261 -0.260 -3.111 -28.365 19.222
1 9.52 952 -2.783 2.132 -27.548 -0.550 0.177 -0.555 -26.031 -8.368 -29.553
1 9.53 953 -2.912 2.198 -27.477 -0.227 0.116 0.125 32.381 -6.131 68.005
1 9.54 954 -3.037 2.233 -27.383 -0.217 0.061 0.163 0.928 -5.546 3.841
1 9.55 955 -3.187 2.219 -27.295 -0.261 -0.025 0.154 -4.381 -8.532 -0.989
1 9.56 956 -3.358 2.200 -27.211 -0.299 -0.033 0.146 -3.779 -0.784 -0.753
1 9.57 957 -3.553 2.197 -27.148 -0.340 -0.005 0.110 -4.124 2.750 -3.592
1 9.58 958 -3.795 2.233 -27.089 -0.422 0.062 0.104 -8.212 6.682 -0.581
1 9.59 959 -4.115 2.289 -27.326 -0.559 0.098 -0.414 -13.619 3.588 -51.847
1 9.60 960 -4.273 2.330 -27.487 -0.276 0.072 -0.282 28.227 -2.566 13.257
1 9.61 961 -4.406 2.365 -27.707 -0.232 0.061 -0.384 4.381 -1.058 -10.246
1 9.62 962 -4.512 2.399 -27.954 -0.185 0.059 -0.431 4.785 -0.274 -4.660
1 9.63 963 -4.585 2.430 -28.197 -0.128 0.054 -0.423 5.663 -0.426 0.751
1 9.64 964 -4.637 2.451 -28.416 -0.090 0.036 -0.382 3.771 -1.823 4.115
1 9.65 965 -4.680 2.446 -28.648 -0.075 -0.008 -0.407 1.524 -4.385 -2.455
1 9.66 966 -4.686 2.433 -28.738 -0.011 -0.024 -0.157 6.433 -1.622 24.971
1 9.67 967 -4.661 2.392 -28.868 0.045 -0.071 -0.227 5.533 -4.720 -7.000
1 9.68 968 -4.673 2.349 -28.934 -0.021 -0.076 -0.115 -6.607 -0.466 11.206
1 9.69 969 -4.718 2.296 -29.005 -0.078 -0.091 -0.124 -5.696 -1.526 -0.879
1 9.70 970 -4.782 2.252 -29.050 -0.112 -0.078 -0.079 -3.346 1.328 4.425
1 9.71 971 -4.850 2.235 -29.087 -0.118 -0.030 -0.065 -0.639 4.807 1.469
1 9.72 972 -4.998 2.261 -29.086 -0.260 0.046 0.003 -14.143 7.538 6.804
1 9.73 973 -5.050 2.268 -29.143 -0.090 0.013 -0.101 17.014 -3.314 -10.402
1 9.74 974 -5.080 2.250 -29.300 -0.052 -0.032 -0.273 3.725 -4.501 -17.227
1 9.75 975 -5.131 2.237 -29.342 -0.090 -0.022 -0.073 -3.728 1.034 19.956
1 9.76 976 -5.163 2.222 -29.347 -0.055 -0.026 -0.009 3.448 -0.349 6.434
1 9.77 977 -5.167 2.198 -29.336 -0.007 -0.043 0.019 4.793 -1.699 2.764
1 9.78 978 -5.146 2.163 -29.328 0.036 -0.061 0.014 4.341 -1.802 -0.454
1 9.79 979 -5.103 2.122 -29.325 0.075 -0.072 0.006 3.883 -1.179 -0.837
1 9.80 980 -5.115 2.049 -29.456 -0.022 -0.127 -0.230 -9.681 -5.463 -23.541
1 9.81 981 -4.986 2.007 -29.356 0.226 -0.074 0.174 24.792 5.300 40.404
1 9.82 982 -4.940 1.975 -29.401 0.079 -0.055 -0.078 -14.720 1.864 -25.188
1 9.83 983 -4.880 1.939 -29.464 0.105 -0.062 -0.110 2.621 -0.672 -3.197
1 9.84 984 -4.815 1.900 -29.545 0.114 -0.068 -0.143 0.869 -0.586 -3.324
1 9.85 985 -4.766 1.860 -29.619 0.086 -0.070 -0.129 -2.830 -0.205 1.345
1 9.86 986 -4.725 1.812 -29.650 0.071 -0.085 -0.053 -1.460 -1.486 7.657
1 9.87 987 -4.755 1.767 -29.573 -0.052 -0.078 0.134 -12.252 0.715 18.663
1 9.88 988 -4.593 1.717 -29.601 0.281 -0.088 -0.049 33.293 -1.032 -18.282
1 9.89 989 -4.521 1.729 -29.556 0.127 0.021 0.078 -15.491 10.888 12.732
1 9.90 990 -4.424 1.745 -29.485 0.169 0.028 0.125 4.236 0.694 4.623
1 9.91 991 -4.289 1.745 -29.416 0.236 0.000 0.120 6.685 -2.748 -0.511
1 9.92 992 -4.123 1.723 -29.362 0.290 -0.038 0.094 5.444 -3.872 -2.521
1 9.93 993 -3.930 1.673 -29.347 0.337 -0.087 0.027 4.646 -4.880 -6.762
1 9.94 994 -3.690 1.577 -29.385 0.418 -0.168 -0.066 8.152 -8.037 -9.269
1 9.95 995 -3.438 1.524 -29.392 0.441 -0.092 -0.013 2.299 7.511 5.264
1 9.96 996 -2.953 1.411 -29.483 0.845 -0.197 -0.158 40.426 -10.467 -14.440
1 9.97 997 -2.676 1.360 -29.555 0.484 -0.089 -0.126 -36.097 10.847 3.176
1 9.98 998 -2.369 1.300 -29.618 0.536 -0.104 -0.109 5.172 -1.547 1.658
1 9.99 999 -2.023 1.230 -29.667 0.603 -0.122 -0.087 6.717 -1.764 2.224
1 10.00 1000 -1.614 1.154 -29.720 0.714 -0.133 -0.091 11.074 -1.126 -0.374
1 10.01 1001 -1.044 1.097 -29.734 0.994 -0.101 -0.025 27.964 3.239 6.634
1 10.02 1002 -0.489 1.030 -29.704 0.970 -0.116 0.052 -2.407 -1.515 7.679
1 10.03 1003 0.691 0.834 -29.603 2.060 -0.343 0.175 109.036 -22.714 12.310
1 10.04 1004 1.429 0.718 -29.486 1.287 -0.202 0.205 -77.344 14.053 2.933
1 10.05 1005 2.231 0.574 -29.300 1.401 -0.251 0.324 11.430 -4.864 11.964
1 10.06 1006 3.070 0.405 -29.086 1.464 -0.296 0.374 6.277 -4.455 4.952
1 10.07 1007 3.921 0.213 -28.927 1.486 -0.334 0.278 2.193 -3.792 -9.561
1 10.08 1008 4.905 0.014 -28.618 1.717 -0.348 0.539 23.105 -1.488 26.107
1 10.09 1009 5.759 -0.192 -28.566 1.491 -0.360 0.091 -22.597 -1.159 -44.866
1 10.10 1010 6.634 -0.406 -28.546 1.528 -0.372 0.034 3.776 -1.197 -5.612
1 10.11 1011 8.418 -0.871 -28.625 3.113 -0.812 -0.137 158.468 -44.041 -17.160
1 10.12 1012 9.403 -1.050 -28.638 1.719 -0.312 -0.024 -139.387 50.083 11.357
1 10.13 1013 10.421 -1.173 -28.689 1.778 -0.216 -0.089 5.832 9.544 -6.568
1 10.14 1014 11.486 -1.271 -28.761 1.858 -0.171 -0.125 8.009 4.557 -3.624
1 10.15 1015 12.610 -1.381 -28.772 1.962 -0.193 -0.019 10.410 -2.196 10.642
1 10.16 1016 13.969 -1.429 -28.628 2.373 -0.083 0.252 41.128 10.908 27.076
1 10.17 1017 15.247 -1.548 -28.444 2.229 -0.208 0.320 -14.402 -12.480 6.849
1 10.18 1018 17.792 -1.806 -27.963 4.443 -0.449 0.839 221.384 -24.045 51.929
1 10.19 1019 19.196 -1.876 -27.691 2.450 -0.124 0.475 -199.288 32.502 -36.428
1 10.20 1020 20.598 -1.959 -27.407 2.448 -0.144 0.496 -0.170 -2.042 2.090
1 10.21 1021 22.016 -2.052 -27.102 2.474 -0.162 0.532 2.542 -1.838 3.608
1 10.22 1022 23.434 -2.180 -26.771 2.474 -0.224 0.577 0.084 -6.172 4.470
1 10.23 1023 24.925 -2.317 -26.345 2.604 -0.239 0.744 12.919 -1.493 16.723
1 10.24 1024 26.326 -2.480 -26.046 2.445 -0.284 0.522 -15.914 -4.508 -22.175
1 10.25 1025 29.126 -2.862 -25.552 4.886 -0.666 0.861 244.163 -38.148 33.902
1 10.26 1026 30.571 -3.053 -25.357 2.523 -0.334 0.341 -236.360 33.177 -52.009
1 10.27 1027 32.028 -3.231 -25.167 2.544 -0.311 0.331 2.118 2.273 -1.037
1 10.28 1028 33.511 -3.393 -24.910 2.587 -0.282 0.448 4.354 2.943 11.718
1 10.29 1029 35.019 -3.525 -24.563 2.632 -0.232 0.606 4.488 5.017 15.769
1 10.30 1030 36.531 -3.630 -24.077 2.639 -0.183 0.848 0.723 4.833 24.182
