DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 0.60 60 0.553 -0.027 -0.419 0.005 -0.007 0.005 0.977 -0.476 1.178
1 0.61 61 0.557 -0.029 -0.398 0.008 -0.003 0.037 0.290 0.416 3.178
1 0.62 62 0.567 -0.042 -0.336 0.017 -0.023 0.108 0.854 -1.948 7.085
1 0.63 63 0.561 -0.048 -0.285 -0.009 -0.012 0.088 -2.600 1.095 -1.948
1 0.64 64 0.542 -0.039 -0.247 -0.034 0.016 0.067 -2.448 2.740 -2.156
1 0.65 65 0.539 -0.032 -0.231 -0.006 0.014 0.028 2.811 -0.201 -3.893
1 0.66 66 0.532 -0.028 -0.226 -0.011 0.006 0.009 -0.536 -0.802 -1.923
1 0.67 67 0.515 -0.030 -0.247 -0.030 -0.003 -0.037 -1.858 -0.856 -4.574
1 0.68 68 0.503 -0.033 -0.282 -0.021 -0.004 -0.061 0.857 -0.157 -2.396
1 0.69 69 0.493 -0.046 -0.320 -0.018 -0.024 -0.066 0.350 -1.925 -0.519
1 0.70 70 0.513 -0.075 -0.421 0.035 -0.050 -0.176 5.277 -2.663 -10.993
1 0.71 71 0.523 -0.091 -0.471 0.017 -0.028 -0.088 -1.771 2.225 8.765
1 0.72 72 0.521 -0.116 -0.574 -0.003 -0.044 -0.180 -2.040 -1.561 -9.109
1 0.73 73 0.546 -0.123 -0.595 0.043 -0.012 -0.036 4.632 3.217 14.365
1 0.74 74 0.569 -0.129 -0.613 0.041 -0.010 -0.032 -0.271 0.125 0.435
1 0.75 75 0.590 -0.137 -0.622 0.037 -0.015 -0.016 -0.390 -0.460 1.537
1 0.76 76 0.603 -0.148 -0.630 0.022 -0.019 -0.014 -1.434 -0.420 0.259
1 0.77 77 0.642 -0.151 -0.667 0.068 -0.006 -0.065 4.578 1.354 -5.147
1 0.78 78 0.659 -0.160 -0.640 0.030 -0.016 0.047 -3.852 -1.026 11.170
1 0.79 79 0.671 -0.189 -0.615 0.021 -0.050 0.044 -0.844 -3.430 -0.302
1 0.80 80 0.677 -0.180 -0.643 0.011 0.015 -0.048 -1.037 6.519 -9.196
