DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 0.00 0 -0.064 -1.657 -2.141 0.011 -0.007 -0.018 1.394 -0.959 5.018
1 0.01 1 -0.050 -1.652 -2.116 0.024 0.008 0.043 1.286 1.527 6.107
1 0.02 2 -0.049 -1.643 -2.089 0.003 0.016 0.047 -2.108 0.830 0.457
1 0.03 3 -0.049 -1.630 -2.077 -0.000 0.022 0.020 -0.305 0.553 -2.698
1 0.04 4 -0.045 -1.618 -2.070 0.006 0.020 0.013 0.648 -0.152 -0.741
1 0.05 5 -0.050 -1.598 -2.121 -0.009 0.036 -0.090 -1.490 1.513 -10.288
1 0.06 6 -0.057 -1.569 -2.182 -0.012 0.052 -0.106 -0.304 1.603 -1.668
1 0.07 7 -0.057 -1.536 -2.232 0.000 0.056 -0.086 1.239 0.460 2.063
1 0.08 8 -0.037 -1.558 -2.220 0.034 -0.037 0.019 3.358 -9.331 10.512
1 0.09 9 -0.029 -1.569 -2.219 0.015 -0.020 0.003 -1.920 1.760 -1.611
1 0.10 10 -0.017 -1.573 -2.223 0.020 -0.007 -0.007 0.515 1.292 -0.995
1 0.11 11 -0.010 -1.568 -2.233 0.012 0.008 -0.018 -0.775 1.467 -1.086
1 0.12 12 -0.007 -1.574 -2.242 0.006 -0.010 -0.017 -0.583 -1.790 0.110
1 0.13 13 -0.011 -1.568 -2.279 -0.007 0.010 -0.064 -1.342 1.975 -4.774
1 0.14 14 -0.016 -1.570 -2.354 -0.010 -0.003 -0.130 -0.276 -1.312 -6.593
1 0.15 15 -0.027 -1.597 -2.557 -0.018 -0.047 -0.355 -0.816 -4.389 -22.430
1 0.16 16 -0.017 -1.624 -2.627 0.016 -0.046 -0.123 3.413 0.064 23.167
1 0.17 17 -0.010 -1.644 -2.692 0.012 -0.035 -0.114 -0.401 1.119 0.899
1 0.18 18 0.010 -1.654 -2.736 0.036 -0.019 -0.077 2.335 1.673 3.733
1 0.19 19 0.046 -1.659 -2.716 0.063 -0.008 0.034 2.720 1.055 11.104
1 0.20 20 0.081 -1.662 -2.674 0.060 -0.005 0.074 -0.251 0.261 3.986
1 0.21 21 0.107 -1.664 -2.610 0.045 -0.003 0.111 -1.512 0.239 3.709
1 0.22 22 0.109 -1.661 -2.524 0.005 0.005 0.149 -3.995 0.815 3.804
1 0.23 23 0.091 -1.698 -2.485 -0.033 -0.065 0.068 -3.783 -7.017 -8.153
1 0.24 24 0.080 -1.765 -2.428 -0.018 -0.117 0.100 1.413 -5.235 3.195
1 0.25 25 0.073 -1.837 -2.358 -0.013 -0.125 0.123 0.584 -0.803 2.294
1 0.26 26 0.081 -1.921 -2.270 0.014 -0.147 0.154 2.662 -2.145 3.078
1 0.27 27 0.089 -2.014 -2.208 0.014 -0.162 0.107 0.017 -1.494 -4.663
1 0.28 28 0.086 -2.093 -2.217 -0.005 -0.137 -0.015 -1.869 2.469 -12.234
1 0.29 29 0.068 -2.224 -2.281 -0.033 -0.230 -0.112 -2.829 -9.248 -9.628
1 0.30 30 0.039 -2.345 -2.482 -0.050 -0.210 -0.350 -1.672 1.913 -23.849
1 0.31 31 0.006 -2.428 -2.672 -0.058 -0.146 -0.332 -0.846 6.461 1.830
1 0.32 32 -0.032 -2.518 -2.878 -0.067 -0.157 -0.359 -0.881 -1.121 -2.731
1 0.33 33 -0.056 -2.598 -3.069 -0.042 -0.138 -0.334 2.456 1.864 2.519
1 0.34 34 -0.077 -2.685 -3.231 -0.036 -0.153 -0.282 0.616 -1.438 5.164
1 0.35 35 -0.083 -2.768 -3.330 -0.010 -0.145 -0.174 2.640 0.782 10.845
1 0.36 36 -0.052 -2.866 -3.359 0.054 -0.171 -0.051 6.361 -2.609 12.324
