DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
1 0.37 37 -0.041 -2.887 -3.373 0.020 -0.036 -0.025 -3.419 13.503 2.597
1 0.38 38 -0.032 -2.894 -3.371 0.014 -0.013 0.004 -0.533 2.325 2.858
1 0.39 39 -0.017 -2.882 -3.376 0.027 0.022 -0.008 1.262 3.492 -1.163
1 0.40 40 -0.009 -2.862 -3.398 0.014 0.034 -0.040 -1.318 1.238 -3.212
1 0.41 41 -0.008 -2.839 -3.441 0.002 0.040 -0.075 -1.191 0.570 -3.486
1 0.42 42 -0.023 -2.830 -3.505 -0.026 0.016 -0.112 -2.769 -2.441 -3.723
1 0.43 43 -0.026 -2.827 -3.583 -0.006 0.005 -0.137 1.980 -1.080 -2.474
1 0.44 44 -0.036 -2.866 -3.716 -0.017 -0.069 -0.232 -1.134 -7.365 -9.544
1 0.45 45 -0.059 -2.898 -3.811 -0.041 -0.055 -0.165 -2.329 1.324 6.711
1 0.46 46 -0.085 -2.933 -3.905 -0.045 -0.061 -0.164 -0.451 -0.591 0.047
1 0.47 47 -0.095 -2.968 -3.952 -0.017 -0.061 -0.082 2.786 0.035 8.268
1 0.48 48 -0.115 -3.010 -4.000 -0.035 -0.073 -0.084 -1.766 -1.197 -0.221
1 0.49 49 -0.138 -3.059 -4.064 -0.040 -0.085 -0.112 -0.461 -1.182 -2.766
1 0.50 50 -0.174 -3.099 -4.164 -0.064 -0.071 -0.174 -2.446 1.416 -6.240
1 0.51 51 -0.218 -3.166 -4.325 -0.076 -0.118 -0.281 -1.220 -4.697 -10.726
1 0.52 52 -0.245 -3.185 -4.433 -0.047 -0.033 -0.188 2.940 8.449 9.370
1 0.53 53 -0.268 -3.190 -4.525 -0.040 -0.008 -0.162 0.639 2.478 2.595
1 0.54 54 -0.281 -3.196 -4.561 -0.023 -0.011 -0.062 1.781 -0.243 9.931
1 0.55 55 -0.277 -3.187 -4.545 0.007 0.017 0.027 2.946 2.747 8.955
1 0.56 56 -0.258 -3.160 -4.493 0.032 0.046 0.092 2.532 2.970 6.483
1 0.57 57 -0.244 -3.120 -4.419 0.024 0.069 0.128 -0.805 2.257 3.648
1 0.58 58 -0.222 -3.072 -4.356 0.040 0.085 0.111 1.586 1.563 -1.790
1 0.59 59 -0.210 -2.987 -4.311 0.020 0.149 0.078 -1.975 6.450 -3.267
1 0.60 60 -0.233 -2.920 -4.317 -0.040 0.116 -0.011 -6.067 -3.276 -8.899
1 0.61 61 -0.235 -2.868 -4.307 -0.004 0.090 0.018 3.675 -2.592 2.891
1 0.62 62 -0.243 -2.807 -4.298 -0.014 0.106 0.017 -0.994 1.586 -0.121
1 0.63 63 -0.258 -2.758 -4.296 -0.025 0.087 0.002 -1.187 -1.976 -1.445
1 0.64 64 -0.279 -2.703 -4.309 -0.037 0.096 -0.023 -1.198 0.912 -2.474
1 0.65 65 -0.298 -2.653 -4.334 -0.033 0.087 -0.042 0.417 -0.824 -1.969
1 0.66 66 -0.331 -2.573 -4.275 -0.057 0.140 0.103 -2.391 5.209 14.538
1 0.67 67 -0.334 -2.556 -4.217 -0.006 0.029 0.101 5.167 -11.090 -0.261
1 0.68 68 -0.337 -2.542 -4.181 -0.005 0.024 0.063 0.099 -0.425 -3.769
1 0.69 69 -0.332 -2.524 -4.140 0.008 0.032 0.071 1.275 0.803 0.840
1 0.70 70 -0.329 -2.510 -4.096 0.005 0.024 0.078 -0.300 -0.860 0.661
1 0.71 71 -0.330 -2.491 -4.071 -0.002 0.034 0.042 -0.753 0.989 -3.573
1 0.72 72 -0.329 -2.471 -4.055 0.002 0.035 0.028 0.445 0.141 -1.420
1 0.73 73 -0.348 -2.413 -4.052 -0.032 0.101 0.006 -3.444 6.576 -2.239
1 0.74 74 -0.367 -2.369 -4.071 -0.034 0.077 -0.033 -0.160 -2.385 -3.882
1 0.75 75 -0.410 -2.314 -4.137 -0.076 0.095 -0.115 -4.192 1.788 -8.200
1 0.76 76 -0.441 -2.254 -4.209 -0.053 0.106 -0.124 2.265 1.113 -0.876
1 0.77 77 -0.479 -2.188 -4.272 -0.066 0.114 -0.110 -1.306 0.840 1.410
1 0.78 78 -0.512 -2.124 -4.325 -0.058 0.111 -0.094 0.812 -0.331 1.615
1 0.79 79 -0.537 -2.057 -4.366 -0.044 0.118 -0.071 1.380 0.693 2.262
1 0.80 80 -0.586 -1.998 -4.470 -0.084 0.103 -0.182 -3.971 -1.524 -11.038
1 0.81 81 -0.586 -1.870 -4.423 -0.000 0.223 0.081 8.354 12.037 26.303
1 0.82 82 -0.601 -1.825 -4.459 -0.026 0.079 -0.061 -2.536 -14.409 -14.291
1 0.83 83 -0.615 -1.788 -4.491 -0.024 0.064 -0.057 0.164 -1.460 0.454
1 0.84 84 -0.615 -1.776 -4.471 -0.001 0.021 0.036 2.325 -4.320 9.308
1 0.85 85 -0.617 -1.772 -4.446 -0.004 0.006 0.043 -0.308 -1.530 0.635
1 0.86 86 -0.631 -1.803 -4.418 -0.023 -0.054 0.050 -1.883 -5.979 0.717
1 0.87 87 -0.641 -1.836 -4.396 -0.019 -0.057 0.037 0.421 -0.331 -1.224
1 0.88 88 -0.683 -1.944 -4.343 -0.073 -0.189 0.092 -5.424 -13.190 5.480
1 0.89 89 -0.700 -1.988 -4.336 -0.031 -0.077 0.013 4.232 11.205 -7.932
1 0.90 90 -0.721 -2.029 -4.356 -0.035 -0.071 -0.034 -0.485 0.581 -4.741
1 0.91 91 -0.744 -2.058 -4.421 -0.040 -0.051 -0.114 -0.485 2.043 -7.920
1 0.92 92 -0.770 -2.095 -4.487 -0.045 -0.065 -0.115 -0.502 -1.378 -0.173
1 0.93 93 -0.803 -2.124 -4.559 -0.058 -0.051 -0.126 -1.226 1.385 -1.053
1 0.94 94 -0.842 -2.162 -4.653 -0.068 -0.066 -0.163 -1.081 -1.581 -3.733
1 0.95 95 -0.883 -2.236 -4.722 -0.073 -0.130 -0.120 -0.423 -6.311 4.314
1 0.96 96 -0.910 -2.274 -4.785 -0.045 -0.065 -0.111 2.715 6.432 0.870
1 0.97 97 -0.913 -2.304 -4.818 -0.006 -0.052 -0.057 3.936 1.304 5.405
1 0.98 98 -0.908 -2.328 -4.798 0.008 -0.043 0.036 1.457 0.957 9.321
1 0.99 99 -0.913 -2.341 -4.815 -0.008 -0.023 -0.030 -1.636 1.989 -6.577
1 1.00 100 -0.917 -2.355 -4.831 -0.007 -0.024 -0.028 0.042 -0.128 0.149
1 1.01 101 -0.907 -2.358 -4.796 0.018 -0.005 0.061 2.507 1.880 8.992
1 1.02 102 -0.913 -2.373 -4.801 -0.011 -0.027 -0.008 -2.844 -2.137 -6.984
1 1.03 103 -0.877 -2.348 -4.844 0.062 0.044 -0.075 7.288 7.038 -6.708
1 1.04 104 -0.871 -2.343 -4.843 0.011 0.008 0.002 -5.066 -3.578 7.722
1 1.05 105 -0.853 -2.326 -4.821 0.032 0.030 0.039 2.040 2.178 3.758
1 1.06 106 -0.831 -2.311 -4.781 0.038 0.026 0.070 0.576 -0.329 3.019
1 1.07 107 -0.803 -2.294 -4.753 0.048 0.029 0.048 1.075 0.281 -2.195
1 1.08 108 -0.791 -2.286 -4.741 0.022 0.014 0.022 -2.638 -1.495 -2.520
1 1.09 109 -0.781 -2.281 -4.726 0.016 0.009 0.025 -0.548 -0.536 0.232
1 1.10 110 -0.753 -2.273 -4.718 0.050 0.014 0.015 3.401 0.546 -0.936
1 1.11 111 -0.739 -2.268 -4.714 0.024 0.009 0.007 -2.638 -0.589 -0.852
1 1.12 112 -0.725 -2.272 -4.729 0.024 -0.007 -0.027 -0.051 -1.567 -3.406
1 1.13 113 -0.719 -2.277 -4.719 0.011 -0.009 0.018 -1.291 -0.223 4.540
1 1.14 114 -0.706 -2.287 -4.700 0.023 -0.016 0.033 1.282 -0.707 1.465
1 1.15 115 -0.696 -2.295 -4.700 0.018 -0.014 0.000 -0.572 0.224 -3.245
1 1.16 116 -0.680 -2.297 -4.667 0.027 -0.003 0.057 0.909 1.083 5.655
1 1.17 117 -0.646 -2.298 -4.594 0.060 -0.003 0.128 3.347 0.064 7.089
1 1.18 118 -0.634 -2.303 -4.572 0.021 -0.008 0.038 -3.927 -0.485 -8.956
1 1.19 119 -0.608 -2.298 -4.555 0.045 0.008 0.030 2.349 1.541 -0.850
1 1.20 120 -0.594 -2.293 -4.550 0.024 0.010 0.009 -2.065 0.204 -2.042
1 1.21 121 -0.575 -2.292 -4.559 0.034 0.001 -0.015 0.979 -0.935 -2.476
1 1.22 122 -0.562 -2.288 -4.562 0.022 0.008 -0.006 -1.170 0.713 0.926
1 1.23 123 -0.550 -2.295 -4.554 0.021 -0.012 0.014 -0.085 -1.941 2.046
1 1.24 124 -0.533 -2.293 -4.589 0.029 0.003 -0.062 0.833 1.520 -7.631
1 1.25 125 -0.527 -2.281 -4.622 0.011 0.020 -0.057 -1.859 1.648 0.541
1 1.26 126 -0.519 -2.269 -4.643 0.014 0.022 -0.037 0.357 0.198 1.928
1 1.27 127 -0.510 -2.265 -4.655 0.016 0.006 -0.021 0.126 -1.586 1.651
1 1.28 128 -0.505 -2.273 -4.666 0.009 -0.013 -0.018 -0.687 -1.903 0.238
1 1.29 129 -0.511 -2.277 -4.669 -0.011 -0.007 -0.006 -1.980 0.585 1.229
1 1.30 130 -0.507 -2.289 -4.658 0.008 -0.021 0.020 1.865 -1.376 2.577
1 1.31 131 -0.499 -2.332 -4.652 0.014 -0.076 0.010 0.620 -5.458 -0.972
1 1.32 132 -0.480 -2.338 -4.669 0.032 -0.010 -0.029 1.827 6.519 -3.859
1 1.33 133 -0.473 -2.343 -4.669 0.012 -0.009 -0.001 -1.997 0.144 2.773
1 1.34 134 -0.463 -2.342 -4.663 0.018 0.002 0.012 0.544 1.058 1.300
1 1.35 135 -0.461 -2.347 -4.662 0.004 -0.009 0.001 -1.375 -1.039 -1.104
1 1.36 136 -0.459 -2.347 -4.672 0.004 0.000 -0.018 -0.007 0.892 -1.849
1 1.37 137 -0.455 -2.349 -4.697 0.007 -0.003 -0.044 0.307 -0.372 -2.669
1 1.38 138 -0.438 -2.355 -4.735 0.029 -0.010 -0.067 2.235 -0.690 -2.235
1 1.39 139 -0.415 -2.369 -4.774 0.041 -0.025 -0.068 1.135 -1.472 -0.158
1 1.40 140 -0.403 -2.383 -4.814 0.020 -0.023 -0.069 -2.059 0.192 -0.101
1 1.41 141 -0.397 -2.403 -4.848 0.011 -0.036 -0.059 -0.850 -1.248 1.062
1 1.42 142 -0.391 -2.424 -4.875 0.010 -0.036 -0.048 -0.158 -0.041 1.090
1 1.43 143 -0.388 -2.445 -4.924 0.005 -0.037 -0.085 -0.473 -0.064 -3.739
1 1.44 144 -0.403 -2.476 -4.940 -0.026 -0.054 -0.028 -3.143 -1.742 5.700
1 1.45 145 -0.412 -2.530 -4.910 -0.016 -0.095 0.052 1.043 -4.091 7.976
1 1.46 146 -0.401 -2.610 -4.756 0.021 -0.139 0.268 3.635 -4.356 21.643
1 1.47 147 -0.392 -2.727 -4.715 0.016 -0.205 0.072 -0.504 -6.594 -19.635
1 1.48 148 -0.379 -2.780 -4.727 0.022 -0.093 -0.020 0.631 11.177 -9.188
1 1.49 149 -0.365 -2.824 -4.784 0.024 -0.077 -0.100 0.268 1.566 -8.027
1 1.50 150 -0.363 -2.861 -4.869 0.004 -0.065 -0.148 -2.039 1.208 -4.753
1 1.51 151 -0.385 -2.907 -4.989 -0.039 -0.079 -0.210 -4.288 -1.370 -6.257
1 1.52 152 -0.424 -2.978 -5.100 -0.069 -0.125 -0.193 -2.990 -4.588 1.749
1 1.53 153 -0.520 -3.044 -5.140 -0.166 -0.116 -0.070 -9.763 0.856 12.246
1 1.54 154 -0.586 -3.470 -5.218 -0.116 -0.743 -0.136 5.028 -62.718 -6.511
1 1.55 155 -0.620 -3.776 -5.123 -0.059 -0.533 0.165 5.716 21.061 30.039
1 1.56 156 -0.644 -4.140 -4.995 -0.043 -0.635 0.225 1.619 -10.269 6.022
1 1.57 157 -0.656 -4.560 -4.870 -0.020 -0.733 0.218 2.227 -9.785 -0.700
1 1.58 158 -0.670 -5.005 -4.703 -0.025 -0.777 0.291 -0.435 -4.414 7.323
1 1.59 159 -0.702 -5.469 -4.521 -0.055 -0.809 0.318 -3.017 -3.216 2.647
1 1.60 160 -0.817 -5.920 -4.352 -0.201 -0.788 0.294 -14.634 2.192 -2.402
1 1.61 161 -0.906 -6.978 -4.258 -0.155 -1.846 0.165 4.646 -105.869 -12.824
1 1.62 162 -0.998 -7.522 -4.218 -0.162 -0.950 0.069 -0.672 89.600 -9.601
1 1.63 163 -1.087 -8.104 -4.193 -0.155 -1.015 0.044 0.696 -6.450 -2.571
1 1.64 164 -1.192 -8.728 -4.208 -0.184 -1.089 -0.026 -2.903 -7.429 -7.018
1 1.65 165 -1.329 -9.404 -4.260 -0.239 -1.180 -0.090 -5.549 -9.071 -6.400
1 1.66 166 -1.473 -10.096 -4.332 -0.251 -1.209 -0.127 -1.180 -2.941 -3.669
1 1.67 167 -1.604 -10.861 -4.393 -0.230 -1.335 -0.106 2.077 -12.560 2.156
1 1.68 168 -1.851 -12.631 -4.366 -0.430 -3.089 0.046 -19.981 -175.397 15.172
1 1.69 169 -1.964 -13.648 -4.250 -0.197 -1.775 0.204 23.270 131.348 15.785
1 1.70 170 -2.064 -14.735 -4.038 -0.176 -1.898 0.369 2.149 -12.244 16.494
1 1.71 171 -2.126 -15.878 -3.706 -0.107 -1.994 0.579 6.832 -9.627 21.014
1 1.72 172 -2.161 -17.044 -3.308 -0.061 -2.036 0.695 4.609 -4.188 11.635
1 1.73 173 -2.147 -18.245 -2.828 0.025 -2.095 0.838 8.616 -5.952 14.238
1 1.74 174 -2.118 -19.494 -2.347 0.049 -2.181 0.840 2.454 -8.543 0.167
1 1.75 175 -2.136 -20.709 -1.855 -0.031 -2.120 0.859 -8.002 6.108 1.913
1 1.76 176 -2.118 -23.499 -1.338 0.031 -4.870 0.902 6.144 -275.029 4.307
1 1.77 177 -2.172 -24.872 -1.139 -0.094 -2.397 0.347 -12.438 247.298 -55.474
1 1.78 178 -2.249 -26.266 -0.966 -0.134 -2.432 0.302 -4.078 -3.484 -4.502
1 1.79 179 -2.373 -27.693 -0.833 -0.216 -2.492 0.232 -8.192 -5.975 -6.986
1 1.80 180 -2.482 -29.178 -0.670 -0.191 -2.591 0.286 2.482 -9.977 5.348
1 1.81 181 -2.581 -30.724 -0.528 -0.173 -2.699 0.248 1.886 -10.763 -3.734
1 1.82 182 -2.562 -32.114 -0.312 0.034 -2.426 0.375 20.699 27.336 12.709
1 1.83 183 -2.394 -35.600 0.331 0.293 -6.083 1.123 25.885 -365.727 74.727
1 1.84 184 -2.160 -37.243 0.953 0.408 -2.869 1.086 11.433 321.400 -3.619
1 1.85 185 -1.882 -38.875 1.690 0.484 -2.848 1.286 7.678 2.055 19.988
1 1.86 186 -1.491 -40.491 2.579 0.683 -2.820 1.551 19.879 2.799 26.455
1 1.87 187 -0.937 -42.089 3.611 0.966 -2.789 1.801 28.323 3.144 24.995
1 1.88 188 -0.332 -43.691 4.639 1.057 -2.795 1.795 9.070 -0.600 -0.617
1 1.89 189 0.297 -45.316 5.662 1.097 -2.837 1.786 3.980 -4.241 -0.835
1 1.90 190 0.932 -46.538 6.820 1.108 -2.133 2.021 1.100 70.440 23.481
1 1.91 191 2.172 -50.241 8.638 2.165 -6.463 3.172 105.741 -432.972 115.071
1 1.92 192 3.130 -51.843 9.967 1.671 -2.795 2.320 -49.466 366.727 -85.210
1 1.93 193 4.515 -53.401 11.742 2.418 -2.719 3.098 74.712 7.595 77.868
1 1.94 194 6.565 -54.913 14.195 3.578 -2.640 4.282 115.976 7.988 118.333
1 1.95 195 9.407 -56.375 17.439 4.961 -2.551 5.661 138.340 8.824 137.916
1 1.96 196 13.174 -57.778 21.603 6.574 -2.448 7.268 161.293 10.288 160.707
1 1.97 197 17.759 -58.538 26.807 8.003 -1.327 9.083 142.904 112.190 181.551
1 1.98 198 32.070 -61.097 41.768 24.977 -4.467 26.111 1697.438 -314.000 1702.776
1 1.99 199 41.529 -61.804 51.670 16.509 -1.234 17.283 -846.833 323.266 -882.802
1 2.00 200 52.249 -62.292 62.801 18.710 -0.851 19.427 220.152 38.246 214.350
1 2.01 201 63.530 -62.526 74.433 19.689 -0.409 20.302 97.844 44.292 87.517
1 2.02 202 74.746 -62.468 86.007 19.576 0.102 20.199 -11.328 51.020 -10.247
1 2.03 203 85.313 -62.149 96.938 18.443 0.557 19.079 -113.240 45.506 -112.084
1 2.04 204 90.006 -61.484 102.178 8.190 1.160 9.145 -1025.297 60.313 -993.335
1 2.05 205 108.188 -60.244 120.938 31.734 2.165 32.743 2354.392 100.490 2359.786
1 2.06 206 113.184 -59.395 126.252 8.719 1.481 9.275 -2301.558 -68.338 -2346.824
1 2.07 207 117.265 -58.433 130.629 7.124 1.678 7.640 -159.499 19.689 -163.498
1 2.08 208 120.475 -57.396 134.084 5.602 1.811 6.030 -152.128 13.316 -160.978
1 2.09 209 122.944 -56.300 136.788 4.310 1.912 4.718 -129.225 10.103 -131.214
1 2.10 210 124.911 -55.160 138.941 3.431 1.990 3.758 -87.862 7.721 -95.992
1 2.11 211 126.422 -53.952 140.564 2.637 2.107 2.834 -79.424 11.779 -92.406
1 2.12 212 128.929 -51.409 143.189 4.376 4.439 4.580 173.910 233.202 174.632
1 2.13 213 130.027 -50.108 144.365 1.917 2.270 2.053 -245.926 -216.990 -252.752
1 2.14 214 131.200 -48.852 145.643 2.047 2.192 2.231 12.953 -7.731 17.867
1 2.15 215 132.477 -47.669 147.031 2.228 2.065 2.421 18.163 -12.722 18.973
1 2.16 216 133.690 -46.543 148.295 2.117 1.966 2.207 -11.096 -9.931 -21.408
1 2.17 217 134.701 -45.352 149.297 1.765 2.079 1.748 -35.262 11.278 -45.865
1 2.18 218 135.552 -44.129 150.117 1.486 2.134 1.432 -27.854 5.499 -31.662
1 2.19 219 135.335 -43.267 149.781 -0.380 1.505 -0.588 -186.625 -62.859 -201.933
1 2.20 220 137.776 -40.572 152.326 4.262 4.703 4.443 464.184 319.821 503.085
1 2.21 221 138.389 -39.398 152.863 1.070 2.050 0.937 -319.145 -265.290 -350.654
1 2.22 222 138.903 -38.206 153.244 0.897 2.080 0.665 -17.362 2.984 -27.194
1 2.23 223 139.411 -36.971 153.566 0.886 2.156 0.562 -1.047 7.552 -10.300
1 2.24 224 140.023 -35.785 153.974 1.069 2.069 0.712 18.268 -8.615 14.973
1 2.25 225 140.722 -34.679 154.486 1.220 1.930 0.895 15.130 -13.911 18.318
1 2.26 226 141.066 -34.042 154.349 0.600 1.111 -0.239 -62.034 -81.931 -113.358
1 2.27 227 143.213 -31.660 156.332 3.748 4.159 3.460 314.777 304.787 369.880
1 2.28 228 144.006 -30.739 156.943 1.384 1.606 1.067 -236.361 -255.281 -239.248
1 2.29 229 144.711 -29.837 157.530 1.230 1.574 1.024 -15.445 -3.191 -4.354
1 2.30 230 145.370 -28.940 158.136 1.150 1.567 1.058 -7.920 -0.712 3.402
1 2.31 231 146.009 -28.073 158.716 1.116 1.513 1.011 -3.395 -5.375 -4.687
1 2.32 232 146.614 -27.221 159.274 1.056 1.487 0.975 -6.073 -2.673 -3.643
1 2.33 233 146.996 -26.805 159.366 0.666 0.725 0.161 -38.943 -76.142 -81.389
1 2.34 234 147.568 -25.921 159.776 0.999 1.544 0.715 33.255 81.906 55.394
1 2.35 235 148.117 -25.022 160.136 0.959 1.568 0.628 -3.989 2.370 -8.621
1 2.36 236 149.181 -22.897 160.986 1.856 3.710 1.483 89.726 214.162 85.456
1 2.37 237 149.641 -21.982 161.252 0.804 1.597 0.464 -105.243 -211.295 -101.869
1 2.38 238 150.078 -21.082 161.485 0.762 1.571 0.408 -4.144 -2.531 -5.672
1 2.39 239 150.458 -20.195 161.679 0.663 1.548 0.338 -9.971 -2.374 -6.924
1 2.40 240 150.739 -19.589 161.604 0.491 1.058 -0.131 -17.109 -49.005 -46.980
1 2.41 241 151.063 -18.822 161.954 0.564 1.339 0.610 7.277 28.159 74.182
1 2.42 242 151.385 -18.123 162.342 0.563 1.220 0.677 -0.098 -11.919 6.676
1 2.43 243 152.037 -16.553 163.355 1.137 2.740 1.769 57.378 152.037 109.196
1 2.44 244 152.295 -15.920 163.653 0.450 1.104 0.520 -68.700 -163.626 -124.865
1 2.45 245 152.523 -15.276 163.850 0.399 1.125 0.344 -5.078 2.118 -17.695
1 2.46 246 152.715 -14.623 163.978 0.334 1.139 0.224 -6.545 1.398 -11.990
1 2.47 247 152.843 -13.937 164.003 0.225 1.197 0.044 -10.905 5.812 -17.996
1 2.48 248 152.904 -13.477 163.857 0.106 0.802 -0.255 -11.873 -39.544 -29.869
1 2.49 249 153.094 -11.849 163.973 0.331 2.842 0.203 22.545 204.014 45.788
1 2.50 250 153.074 -11.156 163.964 -0.036 1.209 -0.016 -36.709 -163.265 -21.920
1 2.51 251 152.980 -10.488 164.011 -0.164 1.167 0.081 -12.810 -4.252 9.763
1 2.52 252 152.849 -9.908 164.161 -0.229 1.012 0.263 -6.492 -15.489 18.151
1 2.53 253 152.669 -9.413 164.389 -0.314 0.864 0.397 -8.516 -14.812 13.440
1 2.54 254 152.436 -8.994 164.639 -0.407 0.731 0.437 -9.298 -13.264 3.953
1 2.55 255 151.965 -8.937 164.860 -0.821 0.100 0.386 -41.416 -63.075 -5.045
1 2.56 256 151.584 -8.021 165.438 -0.665 1.599 1.007 15.571 149.840 62.091
1 2.57 257 151.352 -7.775 165.618 -0.405 0.429 0.315 25.983 -116.952 -69.199
1 2.58 258 151.140 -7.528 165.701 -0.369 0.430 0.145 3.617 0.068 -17.033
1 2.59 259 150.974 -7.305 165.720 -0.290 0.390 0.032 7.913 -3.964 -11.270
1 2.60 260 150.838 -7.110 165.695 -0.237 0.340 -0.043 5.307 -4.995 -7.551
1 2.61 261 150.727 -6.928 165.664 -0.195 0.317 -0.054 4.249 -2.331 -1.044
1 2.62 262 150.572 -6.970 165.572 -0.271 -0.074 -0.160 -7.634 -39.062 -10.650
1 2.63 263 150.472 -6.861 165.639 -0.174 0.190 0.118 9.687 26.319 27.778
1 2.64 264 150.239 -6.581 165.961 -0.407 0.489 0.561 -23.327 29.976 44.394
1 2.65 265 150.034 -6.601 166.121 -0.357 -0.034 0.280 5.076 -52.368 -28.188
1 2.66 266 149.774 -6.669 166.275 -0.454 -0.120 0.268 -9.794 -8.584 -1.111
1 2.67 267 149.505 -6.766 166.376 -0.470 -0.168 0.177 -1.569 -4.830 -9.155
1 2.68 268 149.271 -6.878 166.432 -0.408 -0.195 0.097 6.244 -2.675 -7.989
1 2.69 269 149.094 -6.972 166.458 -0.308 -0.165 0.045 9.968 3.008 -5.167
1 2.70 270 148.941 -7.140 166.538 -0.267 -0.293 0.140 4.117 -12.806 9.480
